rank,model,elo,wins,losses,ties,win_rate,correctness,faithfulness,grounding,relevance,completeness,overall,avg_latency_ms,total_tokens
1,openai-gpt-5.2,1604.64,99,46,125,0.3667,4.87,5.0,4.97,4.97,4.73,4.91,4785,173601
2,openai-gpt-5.1,1587.86,149,22,99,0.5519,5.0,5.0,5.0,5.0,4.97,4.99,10454,182100
3,anthropic-claude-opus-4.5,1580.95,145,38,87,0.5370,4.73,4.8,4.8,4.97,4.7,4.8,7276,200305
4,x-ai-grok-4-fast,1574.07,113,72,85,0.4185,5.0,5.0,5.0,5.0,4.83,4.97,4516,176434
5,z-ai-glm-4.6,1521.32,68,113,89,0.2519,4.63,4.87,4.87,4.9,4.57,4.77,27880,215041
6,google-gemini-3-pro-preview,1520.18,96,77,97,0.3556,4.93,4.97,4.93,4.93,4.77,4.91,14583,205119
7,deepseek-deepseek-r1,1499.43,63,123,84,0.2333,4.93,4.97,4.93,5.0,4.83,4.93,14826,173225
8,qwen-qwen3-30b-a3b-thinking-2507,1426.15,85,88,97,0.3148,4.97,4.97,4.93,5.0,4.83,4.94,8384,200779
9,google-gemini-2.5-pro,1344.17,51,137,82,0.1889,4.73,4.8,4.8,4.73,4.57,4.73,15314,213909
10,openai-gpt-oss-120b,1341.22,20,173,77,0.0741,4.87,4.87,4.87,4.8,4.7,4.82,8854,170855
